id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
12476,,PACIFIC MAIL STEAMSHIP COMPANY,DINNE,COMMERCIAL,"S.S. ""CITY OF PARA""",FOLDER; ILLUS; 6X9.25;,"",DECORATIVE BORDER;,1900-2849,,,1900-04-18,Pacific Mail Steamship Company,,,,complete,4,21
12477,"",OCCIDENTAL & ORIENTAL,BREAKFAST,COMMERCIAL,"S.S. ""DORIC""",BROADSIDE; ILLUS; 5.5X8.5;,"",HANDWRITTEN; STEAMSHIP COMPANY FLAG AT TOP OF MENU;,1900-2851,,,1900-04-18,Occidental & Oriental,,,,complete,2,24
12478,"",,,,,,,,,,,1900-04-18,Occidental & Oriental,,,,complete,2,24
12479,"",OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,DINNER,COMMERCIAL,"S.S. ""DORIC""",FOLDER; ILLUS; 5.5X8.5;,"",HANDWRITTEN; MARITIME INSIGNIA ON COVER;,1900-2852,,,1900-04-18,Occidental & Oriental Steamship Company,,,,complete,4,44
12480,"",CANADIAN PACIFIC RAILWAY COMPANY,BREAKFAST,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",CARD; ILLUS; COL; 4.5X7;,"",MENU ITEMS NUMBERED; COMPANY FLAG AT TOP OF MENU;,1900-2854,,,1900-04-18,Canadian Pacific Railway Company,,,,complete,2,37
12481,"",CANADIAN PACIFIC RAILWAY COMPANY,LUNCHEON,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",CARD; ILLUS; COL; 4.5X7;,"",MENU ITEMS NUMBERED; COMPANY FLAG AT TOP OF MENU;,1900-2855,,,1900-04-18,Canadian Pacific Railway Company,,,,complete,2,42
12485,"",CANADIAN PACIFIC RAILWAY,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,CARD; 4.5 X 7;,"",ITEMS ON MENU ARE NUMBERED; FLAG LOGO;,1900-2869,,,1900-04-19,Canadian Pacific Railway,,,,complete,2,36
12486,"",HOTEL SAVOY,DINNER,COMMERCIAL,NEW YORK,CARD; ILLUS; COL; 3.25 X 8.5;,"",FRENCH; ILLUSTRATION OF MAN AND WOMAN IN COLONIAL DRESS;,1900-2872,,,1900-04-19,Hotel Savoy,,,,complete,2,15
12487,"",PACIFIC MAIL STEAMSHIP CO.,LUNCH,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,FOLDER; 6 X 9;,"",MENU TYPED IN ENGLISH; ORNAMENTAL BORDER;,1900-2875,,,1900-04-19,Pacific Mail Steamship Co.,,,,complete,2,13
12489,"",COLBY ALUMNI ASSOCIATION OF NEW YORK,FIFTH ANNUAL REUNION,SOC;,ST. DENIS HOTEL (NEW YORK?),FOLDER; ILLUS; 4 X 5.5;,ANNIVERSARY;,PHOOGRAPH OF ALUMNI CHEMICAL LABORATORY ON COVER; LOGO OF ALUMNI ASSOCIATION ON BACK COVER;,1900-2877,,,1900-04-20,Colby Alumni Association Of New York,,,,complete,4,21
12493,"",CANADIAN PACIFIC RAILWAY,LUNCH,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,CARD; 4.5 X 7;,"",ITEMS ON MENU ARE NUMBERED; FLAG LOGO;,1900-2891,,,1900-04-20,Canadian Pacific Railway,,,,complete,2,39
12495,,VETERANS AMERICAN GUARD,TWENTY-NINTH ANNUAL DINNER,MIL;,ST. DENNIS HOTEL,BOOKLET; ILLUS; 4 X 5.5;,ANNIVERSARY;,EMBOSSED LOGO ON COVER; SPEECHES;,1900-2893,,,1900-04-20,Veterans American Guard,,,,complete,8,20
12497,"",CUNARD LINE,DINNER,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,CARD; 4.25 X 6.5;,"",CUNARD LINE LOGO; PRICED WINE LIST ON BACK WITH PRICES IN BRITISH CURRENCY;,1900-2902,,,1900-04-21,Canadian Pacific Railway Company,,,,complete,2,38
12498,"",CAFE BOULEVARD,SUNDAY DINNER,COMMERCIAL,156 SECOND AVENUE (NY?),CARD; COL; ILLUS; 5 X 7;,"",PRIX FIXE DINNER; FOOD APPEARS TO BE HUNGARIAN;PALE BLUE; ORNAMENTAL BORDER;,1900-2903,,,1900-04-22,Cafe Boulevard,,Cents,c,complete,2,17
12499,"",PACIFIC MAIL STEAMSHIP CO.,LUNCH;,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,BROADSIDE; 6 X 9;,"",ORNAMENTAL BORDER;,1900-2909,,,1900-04-22,Pacific Mail Steamship Co.,,,,complete,2,14
12500,"",MORNING NEWSPAPER BOWLING LEAGUE,SECOND ANNUAL DINNER,SOC;,MOUQUIN'S,CARD;COL;4X6.5;,ANNIVERSARY;,"",1900-2911,,,1900-04-22,Morning Newspaper Bowling League,,,,complete,2,23
12501,"",CUNARD LINE,BREAKFAST,COMMERCIAL,RMS LUCANIA,CARD;ILL;COL;4.25X6.5;,DAILY;,WINE LIST ON BACK;FLAG;,1900-2917,,,1900-04-23,Cunard Line,,,,complete,2,97
12502,"",CUNARD LINE,LUNCHEON,COMMERCIAL,RMS LUCANIA,CARD;ILL;COL;4.25X6.5;,DAILY;,WINE LIST ON BACK;FLAG;,1900-2918,,,1900-04-23,Cunard Line,,,,complete,2,90
12504,"",U.S.M.S. NEW YORK,LUNCHEON,COMMERCIAL,EN ROUTE,CARD; 4 X 6.25;,"",FLAG; PRICED WINE LIST AND EXCHANGE RATES ON BACK;,1900-1131,,,1900-02-18,U.S.M.S. New York,,Dollars,$,complete,2,99
12505,"",BARTHOLDI HOTEL,BREAKFAST,COMMERCIAL,NY,BROADSIDE; COL; 7 X 11.75;,DAILY,VERY POOR CONDITION;,1900-1137,,,1900-02-18,Bartholdi Hotel,,Dollars,$,complete,2,203
12506,"",BARTHOLDI HOTEL,LUNCH & DINNER,COMMERCIAL,23RD ST & BWAY NY,FOLDER; ILLUS;8.25 X 14;,DAILY,MANY ITEMS HANDWRITTEN; HOURS INCLUDED;,1900-1138,,,1900-02-18,Bartholdi Hotel,,Dollars,$,complete,4,336
12507,"",HAAN'S,SUPPER,COMMERCIAL,75 ST. & COLUMBUS AVE. NY,BROADSHEET; COL; 7 X 11;,DAILY,COMPLETE WINE LIST ON BACK;,1900-1140,,,1900-02-19,Haan's,,Dollars,$,complete,2,392
12508,"",MARIE ANTOINETTE HOTEL,LUNCHEON,COMMERCIAL,66 ST. & BWAY. NY,BROADSIDE; HOTEL EMBLEM; 4.5 X 7.5;,DAILY,"",1900-1141,,,1900-02-19,Marie Antoinette Hotel,,Dollars,$,complete,2,82
12509,"",RED STAR LINE - S.S.SOUTHWARK,DINNER,COMMERCIAL,EN ROUTE,BROADSHEET; ILLUS; COL; 5 X 8;,DAILY,MENU HANDWRITTEN;WINE LIST ON BACK;,1900-1169,,,1900-02-20,Red Star Line   S.S.Southwark,,Francs,FF,complete,2,56
12510,"",MARIE ANTOINETTE HOTEL,DINNER,COMMERCIAL,66 ST. & B'WAY. NY,BROADSIDE; HOTEL EMBLEM; COL; 6.5 X 9;,DAILY,"",1900-1173,,,1900-02-20,Marie Antoinette Hotel,,Dollars,$,complete,2,128
12517,"",NATIONAL VERBANDES DEUTSCH AMERIKANISCHER JOURNALISTEN UND SCHRIFTSTELLER (UNUSUAL),FEST-BANKETT,RESTAURANT,DER LIEDERKRANZ HALLE,BOOKLET; ILLUS; COL; 6 X 7.5,"",MENU IS IN GERMAN; FOOD SELECTIONS REPRESENT VARIOUS REGIONS OF JOURNALISM IN EUROPE AND AMERICA; WINES ARE IN RED IN THE MARGIN NEXT TO APPROPRIATE COURSE; SCHEDULE OF MUSIC AND SPEAKERS IS LISTED; COVER HAS LIGHT BROWN SKETCH OF A JOURNALIST'S DESK WITH,1892-0112,,,1892-05-19,National Verbandes Deutsch Amerikanischer Journalisten Und Schriftsteller (Unusual),,,,complete,2,21
12522,"",NORTHERN STEAMSHIP CO.,BREAKFAST,COMMERCIAL,GREAT NORTHERN RY. LINE,BOOKLET;ILLUS;COL;3X3.75;,DAILY;,INDIVIDUAL CLUB BREAKFAST;HANDWRITTEN DATE 1901;PRICES SEEM HIGH FOR THIS DATE;,1901-1536,,,1901-01-01,Northern Steamship Co.,,,,complete,4,12
12525,"",HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,"SCHNELLDAMPFER ""COLUMBIA""",FOLDER; ILLUS; COL; 4.5X7;,OTHER (DAILY);,GERMAN & ENGLISH; SKETCH OF STEAMSHIP & ROWBOAT ON COVER; MUSICAL PROGRAM ON BACK COVER;,1900-2136,,,1900-02-25,Hamburg Amerika Linie,,,,complete,4,28
